data,horaEntrada,hora,minuto,tempogasto,HoraSaida,usouVoucher
1/3/2023,18:04:00,18,4,10,18:14:00,0
1/3/2023,18:18:00,18,18,45,19:03:00,1
1/3/2023,17:41:00,17,41,11,17:52:00,1
1/3/2023,11:42:00,11,42,24,12:06:00,0
1/3/2023,19:56:00,19,56,43,20:39:00,0
1/3/2023,12:03:00,12,3,21,12:24:00,0
1/3/2023,13:27:00,13,27,44,14:11:00,0
1/3/2023,20:19:00,20,19,23,20:42:00,1
1/3/2023,15:41:00,15,41,35,16:16:00,0
1/3/2023,13:15:00,13,15,27,13:42:00,0
1/3/2023,16:42:00,16,42,20,17:02:00,1
1/3/2023,08:25:00,8,25,10,08:35:00,1
1/3/2023,16:42:00,16,42,10,16:52:00,1
1/3/2023,19:47:00,19,47,19,20:06:00,0
1/3/2023,21:06:00,21,6,13,21:19:00,1
1/3/2023,11:59:00,11,59,28,12:27:00,0
1/3/2023,20:09:00,20,9,41,20:50:00,1
1/3/2023,14:19:00,14,19,17,14:36:00,0
1/3/2023,16:56:00,16,56,28,17:24:00,0
1/3/2023,07:58:00,7,58,21,08:19:00,1
1/3/2023,08:48:00,8,48,19,09:07:00,0
1/3/2023,19:30:00,19,30,6,19:36:00,0
1/3/2023,08:44:00,8,44,41,09:25:00,1
1/3/2023,17:13:00,17,13,14,17:27:00,0
1/3/2023,19:01:00,19,1,40,19:41:00,0
1/3/2023,19:10:00,19,10,41,19:51:00,0
1/3/2023,19:27:00,19,27,27,19:54:00,0
1/3/2023,09:03:00,9,3,8,09:11:00,1
1/3/2023,14:00:00,14,0,16,14:16:00,1
1/3/2023,09:45:00,9,45,12,09:57:00,1
1/3/2023,08:52:00,8,52,4,08:56:00,0
1/3/2023,16:57:00,16,57,32,17:29:00,1
1/3/2023,12:59:00,12,59,10,13:09:00,1
1/3/2023,12:11:00,12,11,32,12:43:00,0
1/3/2023,15:59:00,15,59,13,16:12:00,1
1/3/2023,18:55:00,18,55,35,19:30:00,0
1/3/2023,11:23:00,11,23,23,11:46:00,0
1/3/2023,11:30:00,11,30,23,11:53:00,1
1/3/2023,16:01:00,16,1,39,16:40:00,0
1/3/2023,11:26:00,11,26,34,12:00:00,1
1/3/2023,13:34:00,13,34,6,13:40:00,1
1/3/2023,16:39:00,16,39,8,16:47:00,1
1/3/2023,09:21:00,9,21,10,09:31:00,0
1/3/2023,13:09:00,13,9,31,13:40:00,1
1/3/2023,20:53:00,20,53,9,21:02:00,1
1/3/2023,07:56:00,7,56,20,08:16:00,0
1/3/2023,14:33:00,14,33,4,14:37:00,1
1/3/2023,09:28:00,9,28,13,09:41:00,1
1/3/2023,10:03:00,10,3,10,10:13:00,1
1/3/2023,08:11:00,8,11,19,08:30:00,0
1/3/2023,19:46:00,19,46,34,20:20:00,0
1/3/2023,07:40:00,7,40,6,07:46:00,0
1/3/2023,08:03:00,8,3,6,08:09:00,0
1/3/2023,12:20:00,12,20,24,12:44:00,0
1/3/2023,13:03:00,13,3,44,13:47:00,0
1/3/2023,16:35:00,16,35,13,16:48:00,0
1/3/2023,07:17:00,7,17,11,07:28:00,0
1/3/2023,17:33:00,17,33,8,17:41:00,0
1/3/2023,08:56:00,8,56,34,09:30:00,0
1/3/2023,09:22:00,9,22,11,09:33:00,0
1/3/2023,10:19:00,10,19,28,10:47:00,0
1/3/2023,16:53:00,16,53,39,17:32:00,1
1/3/2023,18:35:00,18,35,18,18:53:00,1
1/3/2023,21:14:00,21,14,10,21:24:00,1
1/3/2023,11:01:00,11,1,31,11:32:00,0
1/3/2023,07:35:00,7,35,42,08:17:00,1
1/3/2023,08:22:00,8,22,30,08:52:00,0
1/3/2023,14:53:00,14,53,32,15:25:00,1
1/3/2023,20:13:00,20,13,5,20:18:00,1
1/3/2023,21:18:00,21,18,6,21:24:00,0
1/3/2023,07:39:00,7,39,14,07:53:00,1
1/3/2023,07:04:00,7,4,30,07:34:00,0
1/3/2023,10:33:00,10,33,20,10:53:00,1
1/3/2023,19:57:00,19,57,31,20:28:00,0
1/3/2023,18:07:00,18,7,30,18:37:00,0
1/3/2023,08:58:00,8,58,32,09:30:00,1
1/3/2023,19:40:00,19,40,19,19:59:00,0
1/3/2023,10:54:00,10,54,45,11:39:00,1
1/3/2023,14:33:00,14,33,13,14:46:00,1
1/3/2023,19:07:00,19,7,29,19:36:00,0
1/3/2023,13:26:00,13,26,9,13:35:00,1
1/3/2023,15:34:00,15,34,3,15:37:00,1
1/3/2023,18:11:00,18,11,37,18:48:00,1
1/3/2023,07:18:00,7,18,44,08:02:00,0
1/3/2023,19:36:00,19,36,20,19:56:00,0
1/3/2023,16:17:00,16,17,11,16:28:00,1
1/3/2023,14:10:00,14,10,30,14:40:00,0
1/3/2023,14:24:00,14,24,43,15:07:00,0
1/3/2023,10:17:00,10,17,27,10:44:00,1
1/3/2023,19:45:00,19,45,19,20:04:00,0
1/3/2023,20:16:00,20,16,6,20:22:00,0
1/3/2023,13:27:00,13,27,25,13:52:00,0
1/3/2023,18:01:00,18,1,9,18:10:00,1
1/3/2023,10:23:00,10,23,12,10:35:00,0
1/3/2023,11:35:00,11,35,34,12:09:00,1
1/3/2023,18:42:00,18,42,38,19:20:00,0
1/3/2023,21:09:00,21,9,41,21:50:00,1
1/3/2023,08:16:00,8,16,19,08:35:00,1
1/3/2023,09:23:00,9,23,41,10:04:00,0
1/3/2023,20:36:00,20,36,32,21:08:00,1
1/3/2023,16:29:00,16,29,15,16:44:00,0
1/3/2023,08:49:00,8,49,41,09:30:00,1
1/3/2023,13:18:00,13,18,3,13:21:00,0
1/3/2023,08:37:00,8,37,39,09:16:00,0
1/3/2023,09:21:00,9,21,11,09:32:00,0
1/3/2023,12:27:00,12,27,16,12:43:00,1
1/3/2023,19:31:00,19,31,27,19:58:00,1
1/3/2023,21:57:00,21,57,42,22:39:00,0
1/3/2023,16:52:00,16,52,15,17:07:00,1
1/3/2023,13:23:00,13,23,13,13:36:00,1
1/3/2023,09:50:00,9,50,5,09:55:00,0
1/3/2023,16:35:00,16,35,33,17:08:00,1
1/3/2023,08:10:00,8,10,12,08:22:00,1
1/3/2023,17:34:00,17,34,42,18:16:00,1
1/3/2023,16:43:00,16,43,10,16:53:00,1
1/3/2023,16:50:00,16,50,28,17:18:00,0
1/3/2023,07:31:00,7,31,35,08:06:00,1
1/3/2023,20:20:00,20,20,3,20:23:00,1
1/3/2023,13:22:00,13,22,34,13:56:00,0
1/3/2023,17:56:00,17,56,10,18:06:00,0
1/3/2023,14:17:00,14,17,37,14:54:00,1
1/3/2023,12:12:00,12,12,5,12:17:00,1
1/3/2023,12:33:00,12,33,44,13:17:00,1
1/3/2023,12:48:00,12,48,31,13:19:00,0
1/3/2023,09:15:00,9,15,8,09:23:00,1
1/3/2023,10:15:00,10,15,14,10:29:00,1
1/3/2023,21:08:00,21,8,4,21:12:00,1
1/3/2023,15:00:00,15,0,42,15:42:00,0
1/3/2023,07:46:00,7,46,4,07:50:00,1
1/3/2023,09:41:00,9,41,14,09:55:00,1
1/3/2023,07:04:00,7,4,18,07:22:00,1
1/3/2023,12:07:00,12,7,38,12:45:00,0
1/3/2023,18:37:00,18,37,41,19:18:00,0
1/3/2023,08:16:00,8,16,41,08:57:00,1
1/3/2023,18:59:00,18,59,13,19:12:00,0
1/3/2023,11:37:00,11,37,12,11:49:00,0
1/3/2023,18:44:00,18,44,23,19:07:00,1
1/3/2023,16:00:00,16,0,44,16:44:00,0
1/3/2023,19:05:00,19,5,18,19:23:00,0
1/3/2023,15:47:00,15,47,30,16:17:00,1
1/3/2023,12:34:00,12,34,15,12:49:00,1
1/3/2023,17:16:00,17,16,39,17:55:00,1
1/3/2023,21:56:00,21,56,41,22:37:00,1
1/3/2023,20:24:00,20,24,4,20:28:00,0
1/3/2023,16:37:00,16,37,29,17:06:00,0
1/3/2023,20:02:00,20,2,20,20:22:00,1
1/3/2023,09:07:00,9,7,38,09:45:00,0
1/3/2023,15:48:00,15,48,20,16:08:00,1
1/3/2023,08:05:00,8,5,44,08:49:00,0
1/3/2023,16:14:00,16,14,34,16:48:00,0
1/3/2023,16:49:00,16,49,3,16:52:00,1
1/3/2023,09:47:00,9,47,14,10:01:00,0
1/3/2023,16:37:00,16,37,38,17:15:00,1
1/3/2023,20:47:00,20,47,19,21:06:00,1
1/3/2023,09:43:00,9,43,25,10:08:00,1
1/3/2023,17:21:00,17,21,37,17:58:00,1
1/3/2023,13:19:00,13,19,32,13:51:00,1
1/3/2023,12:26:00,12,26,31,12:57:00,0
1/3/2023,16:09:00,16,9,27,16:36:00,0
1/3/2023,12:54:00,12,54,10,13:04:00,0
1/3/2023,13:03:00,13,3,21,13:24:00,1
1/3/2023,11:04:00,11,4,36,11:40:00,1
1/3/2023,21:00:00,21,0,15,21:15:00,1
1/3/2023,20:21:00,20,21,22,20:43:00,0
1/3/2023,12:41:00,12,41,8,12:49:00,1
1/3/2023,20:19:00,20,19,5,20:24:00,1
1/3/2023,19:02:00,19,2,34,19:36:00,0
1/3/2023,17:01:00,17,1,15,17:16:00,1
1/3/2023,11:01:00,11,1,32,11:33:00,0
1/3/2023,20:25:00,20,25,18,20:43:00,1
1/3/2023,11:33:00,11,33,19,11:52:00,0
1/3/2023,19:43:00,19,43,41,20:24:00,1
1/3/2023,17:33:00,17,33,15,17:48:00,0
1/3/2023,21:38:00,21,38,14,21:52:00,0
1/3/2023,15:27:00,15,27,35,16:02:00,0
1/3/2023,12:38:00,12,38,44,13:22:00,0
1/3/2023,17:59:00,17,59,3,18:02:00,0
1/3/2023,18:19:00,18,19,5,18:24:00,1
1/3/2023,07:33:00,7,33,34,08:07:00,1
1/3/2023,07:12:00,7,12,45,07:57:00,1
1/3/2023,18:25:00,18,25,4,18:29:00,0
1/3/2023,14:49:00,14,49,34,15:23:00,1
1/3/2023,07:50:00,7,50,37,08:27:00,0
1/3/2023,09:20:00,9,20,35,09:55:00,0
1/3/2023,12:31:00,12,31,13,12:44:00,1
1/3/2023,09:21:00,9,21,41,10:02:00,0
1/3/2023,07:19:00,7,19,31,07:50:00,1
1/3/2023,21:49:00,21,49,38,22:27:00,0
1/3/2023,17:52:00,17,52,24,18:16:00,1
1/3/2023,13:19:00,13,19,7,13:26:00,0
1/3/2023,14:54:00,14,54,17,15:11:00,1
1/3/2023,21:14:00,21,14,21,21:35:00,0
1/3/2023,17:38:00,17,38,40,18:18:00,1
1/3/2023,20:57:00,20,57,41,21:38:00,1
1/3/2023,17:51:00,17,51,14,18:05:00,0
1/3/2023,12:11:00,12,11,6,12:17:00,1
1/3/2023,21:19:00,21,19,3,21:22:00,0
1/3/2023,16:20:00,16,20,44,17:04:00,1
1/3/2023,17:35:00,17,35,41,18:16:00,0
1/3/2023,11:50:00,11,50,26,12:16:00,0
1/3/2023,16:31:00,16,31,30,17:01:00,0
1/3/2023,09:10:00,9,10,24,09:34:00,0
1/3/2023,19:15:00,19,15,38,19:53:00,0
1/3/2023,13:54:00,13,54,32,14:26:00,0
1/3/2023,16:16:00,16,16,4,16:20:00,0
1/3/2023,11:22:00,11,22,19,11:41:00,1
1/3/2023,10:35:00,10,35,29,11:04:00,0
1/3/2023,10:24:00,10,24,22,10:46:00,0
1/3/2023,15:24:00,15,24,15,15:39:00,0
1/3/2023,18:28:00,18,28,45,19:13:00,0
1/3/2023,15:45:00,15,45,38,16:23:00,0
1/3/2023,11:51:00,11,51,30,12:21:00,0
1/3/2023,14:48:00,14,48,42,15:30:00,1
1/3/2023,19:23:00,19,23,8,19:31:00,1
1/3/2023,20:02:00,20,2,44,20:46:00,1
1/3/2023,10:01:00,10,1,18,10:19:00,0
1/3/2023,13:35:00,13,35,22,13:57:00,0
1/3/2023,14:28:00,14,28,10,14:38:00,1
1/3/2023,17:39:00,17,39,27,18:06:00,0
1/3/2023,17:34:00,17,34,9,17:43:00,0
1/3/2023,11:56:00,11,56,24,12:20:00,1
1/3/2023,15:05:00,15,5,43,15:48:00,0
1/3/2023,17:08:00,17,8,45,17:53:00,0
1/3/2023,17:23:00,17,23,13,17:36:00,1
1/3/2023,07:38:00,7,38,22,08:00:00,1
1/3/2023,10:33:00,10,33,3,10:36:00,1
1/3/2023,14:51:00,14,51,23,15:14:00,0
1/3/2023,08:49:00,8,49,27,09:16:00,1
1/3/2023,08:59:00,8,59,23,09:22:00,1
1/3/2023,10:40:00,10,40,22,11:02:00,1
1/3/2023,13:17:00,13,17,31,13:48:00,0
1/3/2023,13:06:00,13,6,11,13:17:00,0
1/3/2023,19:27:00,19,27,28,19:55:00,1
1/3/2023,21:25:00,21,25,10,21:35:00,0
1/3/2023,11:56:00,11,56,20,12:16:00,1
1/3/2023,17:44:00,17,44,7,17:51:00,0
1/3/2023,12:39:00,12,39,34,13:13:00,1
1/3/2023,12:51:00,12,51,44,13:35:00,1
1/3/2023,16:39:00,16,39,17,16:56:00,1
1/3/2023,15:19:00,15,19,18,15:37:00,0
1/3/2023,16:43:00,16,43,41,17:24:00,0
1/3/2023,08:22:00,8,22,31,08:53:00,1
1/3/2023,13:25:00,13,25,24,13:49:00,1
1/3/2023,17:12:00,17,12,21,17:33:00,1
1/3/2023,15:32:00,15,32,36,16:08:00,0
1/3/2023,21:58:00,21,58,14,22:12:00,1
1/3/2023,19:01:00,19,1,16,19:17:00,1
1/3/2023,19:10:00,19,10,34,19:44:00,0
1/3/2023,13:58:00,13,58,5,14:03:00,0
1/3/2023,16:52:00,16,52,8,17:00:00,0
1/3/2023,10:35:00,10,35,36,11:11:00,1
1/3/2023,21:49:00,21,49,28,22:17:00,1
1/3/2023,08:52:00,8,52,45,09:37:00,1
1/3/2023,21:57:00,21,57,11,22:08:00,0
1/3/2023,16:10:00,16,10,12,16:22:00,0
1/3/2023,08:54:00,8,54,28,09:22:00,1
1/3/2023,19:01:00,19,1,38,19:39:00,0
1/3/2023,08:32:00,8,32,37,09:09:00,1
1/3/2023,15:30:00,15,30,22,15:52:00,0
1/3/2023,11:20:00,11,20,26,11:46:00,1
1/3/2023,21:29:00,21,29,37,22:06:00,1
1/3/2023,17:09:00,17,9,11,17:20:00,0
1/3/2023,21:11:00,21,11,6,21:17:00,0
1/3/2023,11:02:00,11,2,30,11:32:00,0
1/3/2023,08:23:00,8,23,17,08:40:00,1
1/3/2023,16:39:00,16,39,5,16:44:00,1
1/3/2023,13:38:00,13,38,9,13:47:00,0
1/3/2023,15:20:00,15,20,40,16:00:00,0
1/3/2023,10:23:00,10,23,4,10:27:00,0
1/3/2023,15:47:00,15,47,24,16:11:00,0
1/3/2023,10:57:00,10,57,10,11:07:00,1
1/3/2023,11:25:00,11,25,18,11:43:00,1
1/3/2023,17:42:00,17,42,20,18:02:00,1
1/3/2023,21:58:00,21,58,10,22:08:00,1
1/3/2023,18:32:00,18,32,38,19:10:00,0
1/3/2023,11:57:00,11,57,20,12:17:00,1
1/3/2023,11:43:00,11,43,4,11:47:00,1
1/3/2023,15:11:00,15,11,36,15:47:00,1
1/3/2023,15:45:00,15,45,41,16:26:00,1
1/3/2023,08:43:00,8,43,4,08:47:00,1
1/3/2023,10:10:00,10,10,3,10:13:00,1
1/3/2023,08:49:00,8,49,19,09:08:00,0
1/3/2023,11:48:00,11,48,44,12:32:00,1
1/3/2023,10:02:00,10,2,39,10:41:00,1
1/3/2023,08:56:00,8,56,21,09:17:00,1
1/3/2023,16:47:00,16,47,10,16:57:00,1
1/3/2023,11:40:00,11,40,28,12:08:00,1
1/3/2023,19:33:00,19,33,40,20:13:00,1
1/3/2023,13:02:00,13,2,8,13:10:00,0
1/3/2023,21:14:00,21,14,42,21:56:00,1
1/3/2023,12:15:00,12,15,43,12:58:00,0
1/3/2023,10:15:00,10,15,27,10:42:00,0
1/3/2023,09:02:00,9,2,24,09:26:00,0
1/3/2023,14:43:00,14,43,30,15:13:00,1
1/3/2023,21:26:00,21,26,45,22:11:00,0
1/3/2023,12:30:00,12,30,4,12:34:00,1
1/3/2023,09:09:00,9,9,21,09:30:00,1
1/3/2023,10:43:00,10,43,42,11:25:00,0
1/3/2023,12:08:00,12,8,38,12:46:00,1
1/3/2023,19:54:00,19,54,6,20:00:00,1
1/3/2023,10:29:00,10,29,22,10:51:00,1
1/3/2023,20:12:00,20,12,44,20:56:00,1
1/3/2023,19:54:00,19,54,44,20:38:00,1
1/3/2023,07:07:00,7,7,22,07:29:00,1
1/3/2023,15:20:00,15,20,33,15:53:00,0
1/3/2023,17:09:00,17,9,28,17:37:00,0
1/3/2023,19:31:00,19,31,14,19:45:00,0
1/3/2023,13:52:00,13,52,12,14:04:00,0
1/3/2023,20:54:00,20,54,32,21:26:00,1
1/3/2023,14:58:00,14,58,42,15:40:00,0
1/3/2023,13:02:00,13,2,5,13:07:00,0
1/3/2023,19:49:00,19,49,37,20:26:00,1
1/3/2023,16:50:00,16,50,31,17:21:00,0
1/3/2023,09:30:00,9,30,26,09:56:00,1
1/3/2023,17:20:00,17,20,32,17:52:00,0
1/3/2023,13:22:00,13,22,15,13:37:00,1
1/3/2023,16:36:00,16,36,15,16:51:00,0
1/3/2023,09:40:00,9,40,24,10:04:00,0
1/3/2023,10:38:00,10,38,17,10:55:00,1
1/3/2023,17:30:00,17,30,19,17:49:00,0
1/3/2023,16:43:00,16,43,45,17:28:00,1
1/3/2023,19:03:00,19,3,45,19:48:00,0
1/3/2023,15:08:00,15,8,4,15:12:00,1
1/3/2023,21:45:00,21,45,12,21:57:00,0
1/3/2023,10:56:00,10,56,4,11:00:00,1
1/3/2023,11:01:00,11,1,11,11:12:00,1
1/3/2023,14:41:00,14,41,31,15:12:00,0
1/3/2023,11:01:00,11,1,34,11:35:00,1
1/3/2023,18:43:00,18,43,41,19:24:00,0
1/3/2023,21:27:00,21,27,15,21:42:00,0
1/3/2023,20:20:00,20,20,9,20:29:00,0
1/3/2023,16:09:00,16,9,33,16:42:00,1
1/3/2023,18:50:00,18,50,9,18:59:00,1
1/3/2023,12:51:00,12,51,13,13:04:00,1
1/3/2023,19:30:00,19,30,20,19:50:00,0
1/3/2023,07:38:00,7,38,35,08:13:00,1
1/3/2023,10:58:00,10,58,28,11:26:00,0
1/3/2023,21:41:00,21,41,18,21:59:00,0
1/3/2023,20:19:00,20,19,22,20:41:00,1
1/3/2023,12:58:00,12,58,26,13:24:00,1
1/3/2023,19:23:00,19,23,40,20:03:00,1
1/3/2023,13:28:00,13,28,16,13:44:00,0
1/3/2023,07:54:00,7,54,41,08:35:00,0
1/3/2023,10:06:00,10,6,21,10:27:00,0
1/3/2023,21:19:00,21,19,27,21:46:00,0
1/3/2023,12:42:00,12,42,12,12:54:00,0
1/3/2023,08:22:00,8,22,30,08:52:00,1
1/3/2023,19:51:00,19,51,31,20:22:00,0
1/3/2023,19:47:00,19,47,27,20:14:00,0
1/3/2023,08:24:00,8,24,6,08:30:00,0
1/3/2023,17:09:00,17,9,26,17:35:00,1
1/3/2023,20:19:00,20,19,26,20:45:00,0
1/3/2023,08:12:00,8,12,35,08:47:00,1
1/3/2023,07:03:00,7,3,22,07:25:00,1
1/3/2023,13:52:00,13,52,36,14:28:00,0
1/3/2023,16:50:00,16,50,41,17:31:00,1
1/3/2023,16:51:00,16,51,15,17:06:00,0
1/3/2023,20:22:00,20,22,41,21:03:00,1
1/3/2023,10:31:00,10,31,10,10:41:00,1
1/3/2023,10:59:00,10,59,44,11:43:00,0
1/3/2023,20:27:00,20,27,24,20:51:00,0
1/3/2023,13:09:00,13,9,18,13:27:00,1
1/3/2023,15:10:00,15,10,45,15:55:00,0
1/3/2023,11:54:00,11,54,14,12:08:00,1
1/3/2023,12:37:00,12,37,43,13:20:00,0
1/3/2023,13:12:00,13,12,42,13:54:00,0
1/3/2023,16:51:00,16,51,41,17:32:00,0
1/3/2023,20:05:00,20,5,42,20:47:00,1
1/3/2023,18:17:00,18,17,25,18:42:00,1
1/3/2023,20:08:00,20,8,22,20:30:00,0
1/3/2023,12:28:00,12,28,31,12:59:00,1
1/3/2023,16:57:00,16,57,8,17:05:00,1
1/3/2023,21:07:00,21,7,13,21:20:00,1
1/3/2023,20:25:00,20,25,39,21:04:00,1
1/3/2023,07:14:00,7,14,16,07:30:00,1
1/3/2023,21:09:00,21,9,34,21:43:00,1
1/3/2023,21:25:00,21,25,45,22:10:00,1
1/3/2023,15:59:00,15,59,37,16:36:00,1
1/3/2023,21:36:00,21,36,6,21:42:00,0
1/3/2023,07:51:00,7,51,32,08:23:00,0
1/3/2023,20:27:00,20,27,24,20:51:00,1
1/3/2023,09:17:00,9,17,14,09:31:00,1
1/3/2023,10:29:00,10,29,15,10:44:00,0
1/3/2023,11:08:00,11,8,30,11:38:00,1
1/3/2023,21:47:00,21,47,37,22:24:00,0
1/3/2023,21:21:00,21,21,34,21:55:00,0
1/3/2023,14:19:00,14,19,18,14:37:00,0
1/3/2023,09:20:00,9,20,14,09:34:00,1
1/3/2023,10:41:00,10,41,44,11:25:00,1
1/3/2023,14:14:00,14,14,7,14:21:00,1
1/3/2023,13:34:00,13,34,11,13:45:00,1
1/3/2023,19:34:00,19,34,39,20:13:00,1
1/3/2023,18:08:00,18,8,15,18:23:00,1
1/3/2023,13:43:00,13,43,5,13:48:00,0
1/3/2023,11:08:00,11,8,32,11:40:00,0
2/3/2023,20:10:00,20,10,12,20:22:00,1
2/3/2023,18:59:00,18,59,38,19:37:00,0
2/3/2023,19:24:00,19,24,7,19:31:00,0
2/3/2023,20:01:00,20,1,32,20:33:00,1
2/3/2023,20:10:00,20,10,35,20:45:00,0
2/3/2023,15:37:00,15,37,28,16:05:00,0
2/3/2023,10:24:00,10,24,24,10:48:00,0
2/3/2023,10:35:00,10,35,18,10:53:00,0
2/3/2023,14:25:00,14,25,34,14:59:00,1
2/3/2023,20:06:00,20,6,15,20:21:00,0
2/3/2023,12:56:00,12,56,45,13:41:00,1
2/3/2023,08:55:00,8,55,38,09:33:00,0
2/3/2023,15:43:00,15,43,30,16:13:00,1
2/3/2023,15:19:00,15,19,33,15:52:00,1
2/3/2023,07:08:00,7,8,17,07:25:00,1
2/3/2023,10:37:00,10,37,34,11:11:00,0
2/3/2023,19:46:00,19,46,29,20:15:00,0
2/3/2023,10:33:00,10,33,11,10:44:00,0
2/3/2023,07:43:00,7,43,13,07:56:00,1
2/3/2023,13:17:00,13,17,45,14:02:00,1
2/3/2023,12:09:00,12,9,13,12:22:00,1
2/3/2023,15:28:00,15,28,38,16:06:00,0
2/3/2023,19:42:00,19,42,17,19:59:00,0
2/3/2023,19:52:00,19,52,29,20:21:00,0
2/3/2023,19:49:00,19,49,3,19:52:00,1
2/3/2023,13:45:00,13,45,16,14:01:00,1
2/3/2023,16:59:00,16,59,39,17:38:00,1
2/3/2023,15:36:00,15,36,24,16:00:00,1
2/3/2023,14:22:00,14,22,14,14:36:00,0
2/3/2023,18:17:00,18,17,18,18:35:00,0
2/3/2023,13:14:00,13,14,23,13:37:00,1
2/3/2023,11:49:00,11,49,20,12:09:00,0
2/3/2023,13:58:00,13,58,26,14:24:00,0
2/3/2023,08:43:00,8,43,27,09:10:00,1
2/3/2023,07:35:00,7,35,9,07:44:00,1
2/3/2023,17:06:00,17,6,30,17:36:00,0
2/3/2023,14:19:00,14,19,42,15:01:00,1
2/3/2023,13:22:00,13,22,9,13:31:00,1
2/3/2023,14:08:00,14,8,41,14:49:00,0
2/3/2023,16:09:00,16,9,43,16:52:00,0
2/3/2023,17:01:00,17,1,17,17:18:00,0
2/3/2023,14:51:00,14,51,42,15:33:00,0
2/3/2023,11:40:00,11,40,36,12:16:00,1
2/3/2023,16:42:00,16,42,26,17:08:00,0
2/3/2023,17:28:00,17,28,33,18:01:00,1
2/3/2023,13:55:00,13,55,38,14:33:00,0
2/3/2023,09:05:00,9,5,22,09:27:00,1
2/3/2023,14:32:00,14,32,39,15:11:00,1
2/3/2023,14:38:00,14,38,16,14:54:00,1
2/3/2023,07:12:00,7,12,29,07:41:00,1
2/3/2023,09:46:00,9,46,32,10:18:00,0
2/3/2023,10:21:00,10,21,17,10:38:00,1
2/3/2023,18:18:00,18,18,32,18:50:00,1
2/3/2023,11:01:00,11,1,13,11:14:00,0
2/3/2023,07:10:00,7,10,11,07:21:00,0
2/3/2023,11:48:00,11,48,25,12:13:00,1
2/3/2023,16:11:00,16,11,10,16:21:00,1
2/3/2023,09:22:00,9,22,20,09:42:00,0
2/3/2023,12:27:00,12,27,40,13:07:00,1
2/3/2023,18:22:00,18,22,8,18:30:00,0
2/3/2023,12:22:00,12,22,23,12:45:00,0
2/3/2023,11:25:00,11,25,4,11:29:00,0
2/3/2023,14:51:00,14,51,41,15:32:00,1
2/3/2023,17:43:00,17,43,7,17:50:00,0
2/3/2023,19:47:00,19,47,21,20:08:00,1
2/3/2023,08:44:00,8,44,28,09:12:00,0
2/3/2023,19:18:00,19,18,37,19:55:00,0
2/3/2023,21:03:00,21,3,33,21:36:00,1
2/3/2023,11:40:00,11,40,34,12:14:00,1
2/3/2023,09:15:00,9,15,3,09:18:00,0
2/3/2023,13:33:00,13,33,29,14:02:00,1
2/3/2023,07:41:00,7,41,27,08:08:00,0
2/3/2023,20:30:00,20,30,12,20:42:00,0
2/3/2023,09:59:00,9,59,27,10:26:00,0
