hora_entrada,permanencia
2023-03-13 12:03:00.000000,15
2023-03-13 12:03:24.405104,14
2023-03-13 12:04:03.436610,15
2023-03-13 12:04:42.432569,20
2023-03-13 12:05:35.622945,15
2023-03-13 12:05:40.774210,23
2023-03-13 12:06:00.000000,49
2023-03-13 12:07:00.000000,28
2023-03-13 12:07:00.000000,17
2023-03-13 12:07:07.883550,9
2023-03-13 12:08:31.738639,32
2023-03-13 12:09:22.485324,29
2023-03-13 12:10:24.661755,24
2023-03-13 12:10:46.184590,12
2023-03-13 12:11:00.000000,37
2023-03-13 12:11:00.000000,17
2023-03-13 12:11:00.000000,11
2023-03-13 12:11:19.258166,17
2023-03-13 12:11:48.638191,20
2023-03-13 12:12:06.630687,38
2023-03-13 12:12:23.344550,17
2023-03-13 12:13:00.000000,42
2023-03-13 12:13:00.000000,52
2023-03-13 12:13:34.348646,30
2023-03-13 12:15:00.000000,35
2023-03-13 12:15:24.374330,27
2023-03-13 12:15:28.529208,24
2023-03-13 12:15:59.698609,11
2023-03-13 12:16:21.640004,22
2023-03-13 12:17:00.000000,15
2023-03-13 12:17:23.585707,8
2023-03-13 12:17:28.405100,28
2023-03-13 12:18:11.639438,14
2023-03-13 12:19:09.861822,28
2023-03-13 12:20:23.400569,16
2023-03-13 12:20:23.441194,23
2023-03-13 12:20:38.704632,21
2023-03-13 12:21:00.000000,22
2023-03-13 12:21:21.222235,24
2023-03-13 12:21:32.322943,38
2023-03-13 12:22:05.995524,21
2023-03-13 12:22:18.294028,19
2023-03-13 12:22:49.226136,22
2023-03-13 12:22:58.170968,32
2023-03-13 12:23:00.000000,31
2023-03-13 12:23:36.712243,28
2023-03-13 12:23:41.583664,23
2023-03-13 12:25:05.004245,25
2023-03-13 12:26:02.906698,9
2023-03-13 12:26:54.462726,16
2023-03-13 12:27:03.349102,31
2023-03-13 12:27:31.999440,32
2023-03-13 12:28:00.000000,32
2023-03-13 12:28:00.000000,19
2023-03-13 12:28:21.075021,35
2023-03-13 12:29:44.830416,34
2023-03-13 12:30:00.000000,15
2023-03-13 12:30:32.335292,32
2023-03-13 12:31:00.000000,56
2023-03-13 12:32:43.727610,22
2023-03-13 12:33:06.566249,26
2023-03-13 12:33:23.140789,45
2023-03-13 12:35:00.000000,9
2023-03-13 12:35:00.000000,18
2023-03-13 12:35:39.146588,18
2023-03-13 12:38:00.000000,30
2023-03-13 12:38:04.745459,23
2023-03-13 12:38:18.546670,24
2023-03-13 12:39:04.554134,21
2023-03-13 12:39:19.112209,11
2023-03-13 12:40:00.000000,42
2023-03-13 12:41:00.000000,32
2023-03-13 12:41:00.000000,36
2023-03-13 12:41:42.534630,24
2023-03-13 12:41:51.743296,27
2023-03-13 12:42:00.000000,34
2023-03-13 12:44:00.000000,39
2023-03-13 12:44:00.000000,23
2023-03-13 12:44:00.000000,23
2023-03-13 12:45:00.000000,21
2023-03-13 12:45:04.816478,31
2023-03-13 12:45:33.375586,31
2023-03-13 12:46:00.000000,31
2023-03-13 12:46:30.202123,36
2023-03-13 12:47:31.486418,24
2023-03-13 12:47:40.443567,7
2023-03-13 12:47:53.905350,26
2023-03-13 12:48:35.802973,38
2023-03-13 12:49:00.000000,28
2023-03-13 12:49:00.000000,38
2023-03-13 12:49:24.660723,25
2023-03-13 12:49:26.712745,19
2023-03-13 12:50:00.000000,36
2023-03-13 12:51:00.000000,32
2023-03-13 12:51:22.186525,51
2023-03-13 12:52:00.000000,30
2023-03-13 12:52:37.413033,26
2023-03-13 12:52:41.294014,33
2023-03-13 12:52:54.617386,21
2023-03-13 12:52:59.604648,31
2023-03-13 12:54:00.000000,22
2023-03-13 12:54:18.225849,31
2023-03-13 12:54:38.564419,39
2023-03-13 12:54:44.363780,23
2023-03-13 12:54:50.965581,10
2023-03-13 12:55:29.359217,12
2023-03-13 12:55:41.115009,22
2023-03-13 12:56:00.000000,29
2023-03-13 12:56:16.640327,26
2023-03-13 12:57:01.333259,24
2023-03-13 12:58:15.642164,18
2023-03-13 12:58:56.877875,18
2023-03-13 12:59:00.000000,30
2023-03-13 12:59:00.000000,27
2023-03-13 12:59:00.000000,31
2023-03-13 12:59:00.000000,24
2023-03-13 12:59:54.764697,12
2023-03-13 13:00:00.000000,18
2023-03-13 13:00:11.892558,13
2023-03-13 13:01:00.000000,18
2023-03-13 13:01:00.000000,7
2023-03-13 13:01:21.482549,43
2023-03-13 13:02:00.000000,30
2023-03-13 13:02:26.588041,21
2023-03-13 13:02:45.507992,15
2023-03-13 13:02:50.028480,9
2023-03-13 13:02:51.294529,19
2023-03-13 13:03:42.800843,10
2023-03-13 13:03:49.997446,27
2023-03-13 13:03:57.005000,11
2023-03-13 13:04:00.000000,29
2023-03-13 13:04:43.478783,6
2023-03-13 13:05:00.000000,26
2023-03-13 13:05:26.386807,43
2023-03-13 13:05:56.371693,21
2023-03-13 13:08:00.000000,27
2023-03-13 13:08:00.000000,37
2023-03-13 13:08:00.000000,30
2023-03-13 13:09:49.855684,8
2023-03-13 13:10:12.521967,32
2023-03-13 13:10:20.877489,33
2023-03-13 13:11:08.718715,12
2023-03-13 13:11:29.751956,36
2023-03-13 13:11:37.494689,46
2023-03-13 13:14:00.000000,28
2023-03-13 13:14:02.909196,14
2023-03-13 13:14:04.671621,37
2023-03-13 13:14:17.686586,30
2023-03-13 13:14:40.674302,44
2023-03-13 13:15:01.092932,52
2023-03-13 13:15:12.617539,22
2023-03-13 13:15:45.410363,25
2023-03-13 13:16:54.153249,28
2023-03-13 13:17:00.000000,19
2023-03-13 13:17:18.998638,41
2023-03-13 13:17:53.646283,23
2023-03-13 13:17:55.911122,32
2023-03-13 13:18:08.526389,30
2023-03-13 13:18:57.937031,28
2023-03-13 13:19:00.000000,30
2023-03-13 13:19:00.000000,26
2023-03-13 13:19:00.000000,41
2023-03-13 13:19:00.000000,49
2023-03-13 13:19:08.894373,21
2023-03-13 13:19:46.401644,17
2023-03-13 13:20:00.000000,16
2023-03-13 13:21:00.000000,23
2023-03-13 13:21:55.848539,35
2023-03-13 13:22:00.000000,31
2023-03-13 13:22:57.310991,28
2023-03-13 13:24:06.721903,32
2023-03-13 13:24:09.775913,11
2023-03-13 13:25:05.690448,32
2023-03-13 13:25:28.330559,43
2023-03-13 13:25:44.613250,46
2023-03-13 13:26:00.000000,22
2023-03-13 13:27:08.556086,33
2023-03-13 13:28:00.000000,32
2023-03-13 13:28:00.000000,28
2023-03-13 13:28:08.767707,16
2023-03-13 13:29:00.000000,30
2023-03-13 13:29:00.000000,40
2023-03-13 13:29:00.000000,31
2023-03-13 13:29:15.906322,24
2023-03-13 13:29:53.759645,13
2023-03-13 13:30:00.000000,33
2023-03-13 13:30:00.000000,12
2023-03-13 13:30:00.000000,18
2023-03-13 13:30:00.000000,13
2023-03-13 13:30:56.733960,17
2023-03-13 13:31:30.432610,45
2023-03-13 13:31:53.385141,25
2023-03-13 13:32:00.000000,18
2023-03-13 13:33:00.000000,21
2023-03-13 13:33:00.000000,39
2023-03-13 13:33:05.061971,10
2023-03-13 13:34:00.000000,35
2023-03-13 13:34:01.998561,14
2023-03-13 13:35:04.217870,38
2023-03-13 13:36:50.052570,25
2023-03-13 13:37:00.000000,19
2023-03-13 13:37:50.818253,24
2023-03-13 13:38:40.506675,32
2023-03-13 13:39:00.000000,29
2023-03-13 13:39:36.409313,20
2023-03-13 13:41:00.000000,26
2023-03-13 13:43:00.000000,23
2023-03-13 13:43:00.000000,32
2023-03-13 13:43:36.270439,36
2023-03-13 13:44:00.000000,20
2023-03-13 13:44:36.319450,29
2023-03-13 13:44:43.098906,27
2023-03-13 13:44:43.117458,18
2023-03-13 13:45:00.563137,20
2023-03-13 13:46:41.012080,39
2023-03-13 13:47:00.000000,16
2023-03-13 13:47:00.000000,28
2023-03-13 13:47:48.558023,18
2023-03-13 13:49:00.000000,26
2023-03-13 13:50:00.000000,17
2023-03-13 13:50:38.886370,6
2023-03-13 13:50:52.102607,27
2023-03-13 13:50:59.221032,27
2023-03-13 13:52:00.000000,36
2023-03-13 13:52:48.101491,43
2023-03-13 13:53:00.000000,26
2023-03-13 13:53:01.189897,15
2023-03-13 13:53:29.035711,29
2023-03-13 13:53:50.873777,31
2023-03-13 13:54:00.000000,25
2023-03-13 13:54:07.682667,34
2023-03-13 13:54:23.887912,32
2023-03-13 13:57:33.758657,21
2023-03-13 13:57:39.562493,38
2023-03-13 13:58:00.000000,18
2023-03-13 14:00:37.479414,20
2023-03-13 14:00:40.642584,23
2023-03-13 14:00:48.309874,33
2023-03-13 14:01:10.125096,41
2023-03-13 14:01:15.021297,40
2023-03-13 14:01:22.038995,24
2023-03-13 14:02:38.223945,30
2023-03-13 14:05:44.241656,35
2023-03-13 14:06:41.318283,31
2023-03-13 14:06:52.093301,18
2023-03-13 14:08:23.021010,33
2023-03-13 14:10:20.623381,6
2023-03-13 14:10:25.096318,23
2023-03-13 14:10:30.628257,30
2023-03-13 14:11:05.136445,30
2023-03-13 14:11:33.221738,23
2023-03-13 14:13:03.735337,18
2023-03-13 14:13:55.326581,17
2023-03-13 14:15:27.735414,24
2023-03-13 14:16:20.245561,14
2023-03-13 14:16:36.730343,35
2023-03-13 14:16:42.704365,16
2023-03-13 14:17:18.284852,15
2023-03-13 14:18:20.215703,20
2023-03-13 14:19:12.951483,19
2023-03-13 14:19:46.159432,31
2023-03-13 14:20:12.271779,21
2023-03-13 14:20:31.357758,28
2023-03-13 14:20:34.051249,7
2023-03-13 14:22:14.922895,18
2023-03-13 14:22:29.919757,34
2023-03-13 14:23:27.163402,47
2023-03-13 14:23:31.938993,41
2023-03-13 14:24:13.712589,29
2023-03-13 14:25:49.298040,38
2023-03-13 14:26:07.531717,30
2023-03-13 14:29:31.464997,16
2023-03-13 14:29:37.162797,11
2023-03-13 14:32:15.618544,7
2023-03-13 14:32:31.822370,33
2023-03-13 14:33:04.091175,31
2023-03-13 14:33:19.981884,33
2023-03-13 14:33:27.198709,26
2023-03-13 14:34:28.912925,24
2023-03-13 14:34:29.784016,12
2023-03-13 14:36:27.887944,36
2023-03-13 14:37:10.094330,48
2023-03-13 14:37:10.255093,29
2023-03-13 14:37:11.444721,32
2023-03-13 14:37:35.569355,8
2023-03-13 14:37:55.297932,23
2023-03-13 14:38:44.104046,25
2023-03-13 14:39:15.002378,31
2023-03-13 14:39:16.754494,23
2023-03-13 14:39:22.545469,32
2023-03-13 14:39:53.326255,22
2023-03-13 14:40:21.820451,33
2023-03-13 14:40:37.002875,36
2023-03-13 14:41:00.659121,34
2023-03-13 14:41:56.083193,29
2023-03-13 14:42:17.401096,22
2023-03-13 14:42:39.099279,40
2023-03-13 14:42:48.931086,27
2023-03-13 14:44:14.109619,37
2023-03-13 14:45:11.863727,30
2023-03-13 14:45:42.785738,38
2023-03-13 14:47:43.978902,39
2023-03-13 14:48:50.511723,15
2023-03-13 14:49:43.171389,26
2023-03-13 14:49:59.743364,54
2023-03-13 14:50:10.657086,10
2023-03-13 14:50:33.201702,20
2023-03-13 14:50:43.743132,32
2023-03-13 14:50:57.986006,22
2023-03-13 14:50:58.652607,22
2023-03-13 14:52:06.960162,16
2023-03-13 14:52:08.207887,32
2023-03-13 14:53:45.783426,44
2023-03-13 14:54:16.860389,26
2023-03-13 14:54:25.152387,36
2023-03-13 14:56:53.292331,13
2023-03-13 14:59:29.640882,50
2023-03-13 14:59:50.066914,34
2023-03-13 15:01:58.084219,14
2023-03-13 15:02:13.996590,31
2023-03-13 15:03:01.093831,26
2023-03-13 15:04:23.346234,28
2023-03-13 15:04:32.471180,22
2023-03-13 15:05:42.299188,14
2023-03-13 15:06:41.601153,9
2023-03-13 15:08:45.455349,7
2023-03-13 15:12:04.639296,32
2023-03-13 15:12:10.653970,27
2023-03-13 15:12:39.829797,35
2023-03-13 15:13:52.740698,25
2023-03-13 15:14:57.957938,38
2023-03-13 15:15:10.853363,16
2023-03-13 15:16:00.151225,9
2023-03-13 15:17:20.772763,32
2023-03-13 15:18:22.540790,23
2023-03-13 15:18:56.084115,34
2023-03-13 15:20:08.844728,30
2023-03-13 15:20:13.137736,26
2023-03-13 15:20:23.909829,8
2023-03-13 15:20:49.796426,27
2023-03-13 15:23:50.402185,37
2023-03-13 15:24:10.339734,22
2023-03-13 15:24:10.488198,22
2023-03-13 15:24:31.010301,20
2023-03-13 15:25:54.824966,21
2023-03-13 15:26:59.858026,42
2023-03-13 15:28:22.365522,50
2023-03-13 15:31:50.646996,14
2023-03-13 15:32:41.633402,26
2023-03-13 15:33:51.946659,29
2023-03-13 15:34:13.860255,34
2023-03-13 15:34:44.491378,38
2023-03-13 15:35:06.329694,41
2023-03-13 15:37:15.242285,17
2023-03-13 15:37:19.385156,24
2023-03-13 15:38:20.630524,13
2023-03-13 15:39:02.336162,20
2023-03-13 15:40:47.362436,31
2023-03-13 15:43:42.587551,6
2023-03-13 15:44:59.272889,17
2023-03-13 15:47:22.314068,29
2023-03-13 15:48:13.733730,8
2023-03-13 15:48:50.899218,17
2023-03-13 15:49:02.514490,16
2023-03-13 15:49:30.998482,21
2023-03-13 15:50:58.200396,22
2023-03-13 15:51:10.861092,27
2023-03-13 15:51:47.787114,19
2023-03-13 15:51:49.046282,24
2023-03-13 15:51:55.406760,20
2023-03-13 15:52:13.986266,12
2023-03-13 15:52:34.609332,7
2023-03-13 15:54:43.176734,17
2023-03-13 15:54:50.907072,35
2023-03-13 15:54:58.702994,23
2023-03-13 15:57:25.434324,26
2023-03-13 15:57:36.348921,36
2023-03-13 15:58:12.238997,22
2023-03-13 15:58:16.441859,14
2023-03-13 15:58:40.187708,33
2023-03-13 15:59:09.862687,19
2023-03-13 15:59:53.854606,18
2023-03-13 16:00:00.000000,38
2023-03-13 16:00:01.167805,32
2023-03-13 16:00:04.763605,41
2023-03-13 16:00:16.944203,13
2023-03-13 16:00:28.729873,26
2023-03-13 16:03:37.300791,15
2023-03-13 16:03:51.405750,34
2023-03-13 16:04:00.000000,31
2023-03-13 16:04:10.863599,17
2023-03-13 16:04:41.069167,8
2023-03-13 16:05:25.936807,21
2023-03-13 16:06:21.578340,34
2023-03-13 16:07:00.000000,28
2023-03-13 16:07:05.186227,31
2023-03-13 16:07:08.597629,29
2023-03-13 16:07:25.479906,16
2023-03-13 16:08:30.871866,39
2023-03-13 16:09:02.589222,34
2023-03-13 16:10:00.000000,35
2023-03-13 16:10:10.881838,31
2023-03-13 16:10:49.826393,16
2023-03-13 16:11:00.000000,5
2023-03-13 16:11:35.893652,21
2023-03-13 16:13:06.855326,9
2023-03-13 16:16:00.000000,32
2023-03-13 16:16:11.063162,31
2023-03-13 16:17:00.000000,42
2023-03-13 16:17:00.000000,42
2023-03-13 16:17:21.898346,22
2023-03-13 16:17:56.359471,25
2023-03-13 16:17:57.150665,22
2023-03-13 16:18:00.000000,33
2023-03-13 16:18:39.606541,38
2023-03-13 16:18:41.563803,32
2023-03-13 16:18:42.675409,38
2023-03-13 16:20:00.000000,20
2023-03-13 16:20:12.079179,25
2023-03-13 16:21:11.209713,25
2023-03-13 16:21:28.141928,28
2023-03-13 16:22:02.196855,36
2023-03-13 16:23:03.324478,12
2023-03-13 16:24:14.404269,50
2023-03-13 16:24:30.741163,18
2023-03-13 16:24:48.653697,28
2023-03-13 16:25:00.000000,32
2023-03-13 16:25:00.000000,40
2023-03-13 16:25:06.381569,30
2023-03-13 16:25:50.642687,33
2023-03-13 16:26:21.833391,11
2023-03-13 16:27:58.187176,30
2023-03-13 16:28:00.000000,22
2023-03-13 16:28:50.078694,16
2023-03-13 16:29:00.000000,15
2023-03-13 16:29:51.132190,15
2023-03-13 16:30:11.727553,15
2023-03-13 16:31:00.000000,8
2023-03-13 16:31:08.352531,22
2023-03-13 16:31:08.766884,28
2023-03-13 16:33:00.000000,34
2023-03-13 16:35:54.089768,37
2023-03-13 16:36:01.333382,19
2023-03-13 16:36:24.907528,28
